RFV13D,RFV description
2515,Ischemic heart disease
2520,Other heart disease
2525,Cerebrovascular disease
2530,Atherosclerosis
2535,"Phlebitis, thrombophlebitis"
2540,Varicose veins
2545,Hemorrhoids
2550,Other disease of circulatory system
2600,Upper respiratory infections except t...
2605,Tonsillitis
2610,Bronchitis
2620,Emphysema
2625,Asthma
2630,Pneumonia
2635,Hay fever
2640,Other respiratory diseases
2650,"Diseases of the esophagus, stomach, a..."
2655,"Appendicitis, all types"
2660,Hernia of abdominal cavity
2665,Diseases of the intestine and peritoneum
2670,"Diseases of the liver, gallbladder, p..."
2675,Other diseases of digestive system
2700,Cystitis
2705,Urinary tract disease except cystitis
2710,Diseases of the male genital organs
2715,Fibrocystic and other diseases of breast
2720,Pelvic inflammatory disease (PID)
2725,"Cervicitis, vaginitis"
2730,Other diseases of female reproductive...
2735,Diagnosed complications of pregnancy ...
2736,"Other diseases genitourinary system, NEC"
2800,"Carbuncle, furuncle, boil, cellulitis..."
2805,Impetigo
2810,Seborrheic dermatitis
2815,"Eczema and dermatitis, NOS"
2820,Psoriasis
2825,Other diseases of the skin
2900,Arthritis
2905,Nonarticular rheumatism
2910,Other musculoskeletal or connective t...
2950,Congenital anomalies of heart and cir...
2955,Undescended testicles
2960,Other congenital anomalies
2980,Prematurity
2990,All perinatal conditions
3100,General medical examination
3105,Well baby examination
3130,General psychiatric or psychological ...
3200,"Pregnancy, unconfirmed"
3205,"Prenatal examination, routine"
3215,"Postpartum examination, routine"
3220,Breast examination
3225,Gynecological examination
3230,Eye examination
3235,Heart examination
3240,Other special examination
3300,Sensitization test
3305,Skin immunity test
3310,Glucose level determination
3314,Human immunodeficiency virus (HIV) test
3315,Other blood test
3320,Blood pressure test
3325,Urine test
3330,Diagnostic endoscopies
3335,Biopsies
3340,"Mammography, xerography, breast therm..."
3345,Diagnostic radiology
3350,"EKG, ECG, electrocardiogram, treadmil..."
3355,"EEG, electroencephalogram"
3360,Hearing test
3365,Pap smear
3370,Other and unspecified diagnostic tests
3400,Prophylactic inoculations
3405,Exposure to venereal disease
3408,Possible HIV
3409,Exposure to human immunodeficiency vi...
3410,Exposure to other infectious diseases
3415,Exposure to bodily fluids of another person
3500,"Family planning, NOS"
3505,Contraceptive medication
3510,Contraceptive device
3515,Counseling and examinations for pregn...
3520,Abortion to be performed (at this visit)
3525,Sterilization to be performed (at thi...
3530,Artificial insemination
3535,Preconception Counseling and Education
4100,Allergy medication
4110,Injections
4111,Noncompliance with medication therapy
4115,"Medication, other and unspecified kinds"
4200,Preoperative visit for spec/unspec ty...
4205,Postoperative visit
4400,Physical medicine and rehabilitation
4401,Cardiopulmonary resuscitation
4405,Respiratory therapy
4410,Psychotherapy
4415,Radiation therapy
4420,Acupuncture
4425,Chemotherapy
4500,Tube insertion
4505,"Cauterization, all sites"
4507,"IV therapy, infusion"
4510,Urinary tract instrumentation and cat...
4515,Fitting glasses and contact lenses
4518,Detoxification
4520,Minor surgery
4521,Major surgery
4525,Kidney dialysis
4529,Internal prosthetic device
4530,"Extern prosthet dev, art body parts (..."
4535,Corrective appliances
4540,"Cast, splint - application, removal"
4545,"Dressing, bandage - application, change"
4550,"Irrigation, lavage"
4555,"Suture - insertion, removal"
4556,"Cosmetic injection, NOS"
4560,Other specific therapeutic procedures...
4565,Transplants
4600,Diet and nutritional counseling
4604,Human immunodeficiency virus (HIV) co...
4605,"Counseling, NOS"
4700,Economic problem
4702,Problem with access to medical care
4705,Marital problems
4710,Parent-child problems
4715,Other problems of family relationship
4720,Educational problems
4725,Occupational problems
4730,Social adjustment problems
4735,Legal problems
4740,Other social problems
4800,"Progress visit, NOS"
5005,Head and face fractures and dislocations
5010,Spinal column fractures and dislocations
5015,"Trunk area, except spinal column, fra..."
5020,Leg fractures and dislocations
5025,Ankle fractures and dislocations
5030,Foot and toe(s) fractures and disloca...
5035,Arm fractures and dislocations
5040,Wrist fractures and dislocations
5045,Hand and finger(s) fractures and disl...
5050,"Fractures and dislocations, other and..."
5105,"Cervical spine, neck strains and sprains"
5110,Back strains and sprains
5115,Knee strains and sprains
5120,Ankle strains and sprains
5125,Wrist strains and sprains
5130,"Sprain or strain, other and unspecified"
5205,Head and neck area lacerations and cuts
5210,Facial area lacerations and cuts
5215,Trunk area lacerations and cuts
5220,Lower extremity lacerations and cuts
5225,Upper extremity lacerations and cuts
5230,"Laceration and cuts, site unspecified"
5305,"Head, neck and facial area puncture w..."
5310,Trunk area puncture wounds
5315,Lower extremity puncture wounds
5320,Upper extremity puncture wounds
5325,"Puncture wound, site unspecified"
5405,"Head, neck, and face contusion, abras..."
5410,"Eye contusion, abrasion, bruise"
5415,"Trunk area contusion, abrasion, bruise"
5420,"Lower extremity contusion, abrasion, ..."
5425,"Upper extremity contusion, abrasion, ..."
5430,"Contusion, abrasion, bruise, site uns..."
5505,"Head, neck, and face injury, type uns..."
5510,"Eye injury, type unpsecified"
5515,"Back injury, type unspecified"
5520,"Chest and abdomen injury, type unspec..."
5525,"Hip injury, type unspecified"
5530,"Leg injury, type unspecified"
5535,"Knee injury, type unspecified"
5540,"Ankle injury, type unspecified"
5545,"Foot and toe(s) injury, type unspecified"
5550,"Shoulder injury, type unspecified"
5555,"Arm injury, type unspecified"
5560,"Elbow injury, type unspecified"
5565,"Wrist injury, type unspecified"
5570,"Hand and finger(s) injury, type unspe..."
5575,"Injury, multiple or unspecified"
5600,"Eye, foreign body"
5605,"Nose, foreign body"
5610,"Skin, foreign body"
5615,"Digestive tract, foreign body"
5616,"Respiratory tract, foreign body"
5620,"Other and unspecified sites, foreign ..."
5705,"Head, neck, and face burns, all degrees"
5710,Trunk area burns
5715,Extremities burns
5720,"Burn, site unspecified"
5750,"Sunburn, windburn"
5755,Insect bites
5760,"Animal, human bite"
5800,Late effects of an old injury
5805,"Motor vehicle accident, type of injur..."
5810,"Accident, NOS"
5815,"Violence, NOS"
5818,Intentional self-mutilation
5820,Suicide attempt
5830,Rape
5835,Dead on arrival (DOA)
5836,Respiratory arrest
5837,Cardiac arrest
5838,Drowning
5839,Cardiopulmonary arrest
5840,Unconscious on arrival
5841,State of consciousness not specified
5842,Altered level of consciousness
5900,Accidental poisoning
5905,Adverse effect of medication
5910,Adverse effect of drug abuse
5915,Adverse effect of alcohol
5920,Adverse effects of environment
5921,Adverse effects of secondhand smoke
5922,Adverse effects of terrorism and bio..
5925,"Adverse effects, other and unspecified"
5930,Surgical Complications due to any imp...
6100,For results of blood glucose tests
6105,For results of cholesterol and trigly...
6106,For results of test for human immunod...
6110,For other findings of blood tests
6200,For results of urine tests
6300,For cytology findings
6400,For radiological findings
6500,For results of EKG
6600,For results of skin tests
6700,For other and unspecified test results
7100,Physical examination required for sch...
7120,Driver's license examination
7125,Insurance examination
7130,Disability examination
7131,Worker's Compensation examination
7135,Premarital examination
7137,Direct admission to hospital
7140,Oth reas for visit requir by party ot...
8990,"Problems, complaints, NEC"
8991,Patient unable to speak English
8993,Patient (or spokesperson) refused care
8997,Entry of 'none' or 'no complaint'
8998,Inadequate data base
8999,Illegible entry
